Company,Company URL,Page URL,Run,Page Category,Analysis Level,Technical Score,Content Score,Authority Score,Quality Score,Global Score,LLM Usage Count,Issues (JSON),Recommendations (JSON),Timestamp
Agryco,https://www.agryco.com/,https://www.agryco.com/marque/teejet,1,product_category_page,limited,33,11,0,0,11,0,[],[],2025-07-07T10:56:05.359Z
Agryco,https://www.agryco.com/,https://www.agryco.com/semences/cipan---culture-intermediaire/pc921,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""}]","[{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add comparison table to achieve excellent score"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""}]",2025-07-07T10:56:12.168Z
Agryco,https://www.agryco.com/,https://www.agryco.com/engrais/engrais-uab/pc8030,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""}]","[{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add comparison table, internal links to achieve excellent score"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""},{""content"":""Add internal links to each alternative"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""}]",2025-07-07T10:56:12.260Z
Agryco,https://www.agryco.com/,https://www.agryco.com/marque/kuhn,1,product_category_page,limited,33,11,0,0,11,0,[],[],2025-07-07T10:56:13.223Z
Agryco,https://www.agryco.com/,https://www.agryco.com/engrais/engrais-pk/pc8035,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""}]","[{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add comparison table to achieve excellent score"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""}]",2025-07-07T10:56:14.267Z
Agryco,https://www.agryco.com/,https://www.agryco.com/engrais/fertilisation-foliaires/pc5592,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""}]","[{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add comparison table to achieve excellent score"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""}]",2025-07-07T10:56:15.414Z
Agryco,https://www.agryco.com/,https://www.agryco.com/marque/John-deere,1,product_category_page,limited,33,11,0,0,11,0,[],[],2025-07-07T10:56:15.501Z
Agryco,https://www.agryco.com/,https://www.agryco.com/engrais/ammonitrates/pc8032,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""},{""dimension"":""authority"",""severity"":""error"",""description"":""No comparison content found"",""recommendation"":""Add comparison content with 2+ items"",""ruleId"":""comparison-content""}]","[{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add ItemList schema markup for better search visibility"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""},{""content"":""Add internal links to each alternative"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""}]",2025-07-07T10:56:15.834Z
Agryco,https://www.agryco.com/,https://www.agryco.com/marque/fendt,1,product_category_page,limited,33,11,0,0,11,0,[],[],2025-07-07T10:56:16.580Z
Agryco,https://www.agryco.com/,https://www.agryco.com/engrais/engrais-npk/pc8034,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""}]","[{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add comparison table to achieve excellent score"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""}]",2025-07-07T10:56:16.662Z
Agryco,https://www.agryco.com/,https://www.agryco.com/marque/hifi-filter,1,product_category_page,limited,33,11,0,0,11,0,[],[],2025-07-07T10:56:16.954Z
Agryco,https://www.agryco.com/,https://www.agryco.com/marque/deutz-fahr,1,product_category_page,limited,33,11,0,0,11,0,[],[],2025-07-07T10:56:17.593Z
Agryco,https://www.agryco.com/,https://www.agryco.com/marque/karcher,1,product_category_page,limited,33,11,0,0,11,0,[],[],2025-07-07T10:56:17.734Z
Agryco,https://www.agryco.com/,https://www.agryco.com/marque/horsch,1,product_category_page,limited,33,11,0,0,11,0,[],[],2025-07-07T10:56:17.961Z
Agryco,https://www.agryco.com/,https://www.agryco.com/marque/gregoire-et-besson,1,product_category_page,limited,33,11,0,0,11,0,[],[],2025-07-07T10:56:18.465Z
Agryco,https://www.agryco.com/,https://www.agryco.com/blog/machinisme/huile-hydraulique-comment-faire-son-choix,1,how_to_guide_tutorial,full,33,11,0,0,11,0,[],[],2025-07-07T10:56:19.296Z
Agryco,https://www.agryco.com/,https://www.agryco.com/blog/cultures/toutes_les_informations_sur_le_semis_de_mais,1,how_to_guide_tutorial,full,33,11,0,0,11,0,[],[],2025-07-07T10:56:19.539Z
Agryco,https://www.agryco.com/,https://www.agryco.com/blog/elevage/ensilage-quels-sont-les-differents-types-de-stockage,1,blog_post_article,full,33,0,0,0,8,3,"[{""dimension"":""authority"",""severity"":""error"",""description"":""No comparison content found"",""recommendation"":""Add comparison content with 2+ items"",""ruleId"":""comparison-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""}]","[{""content"":""Add ItemList schema markup for better search visibility"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""},{""content"":""Add internal links to each alternative"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""},{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""}]",2025-07-07T10:56:21.635Z
Agryco,https://www.agryco.com/,https://www.agryco.com/publi/agryco-financement,1,unknown,full,33,11,0,0,11,0,[],[],2025-07-07T10:56:22.480Z
Agryco,https://www.agryco.com/,https://www.agryco.com/bore-molybdene/p265433,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""authority"",""severity"":""error"",""description"":""No comparison content found"",""recommendation"":""Add comparison content with 2+ items"",""ruleId"":""comparison-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""}]","[{""content"":""Add internal links to each alternative"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""},{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""}]",2025-07-07T10:56:22.656Z
Agryco,https://www.agryco.com/,https://www.agryco.com/blog/machinisme/adblue_comment_ca_marche,1,blog_post_article,full,33,0,0,0,8,3,"[{""dimension"":""authority"",""severity"":""error"",""description"":""No comparison content found"",""recommendation"":""Add comparison content with 2+ items"",""ruleId"":""comparison-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""}]","[{""content"":""Add ItemList schema markup for better search visibility"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""},{""content"":""Add internal links to each alternative"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""},{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""}]",2025-07-07T10:56:22.879Z
Agryco,https://www.agryco.com/,https://www.agryco.com/fientes-40-32-32/p420954,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""},{""dimension"":""authority"",""severity"":""error"",""description"":""No comparison content found"",""recommendation"":""Add comparison content with 2+ items"",""ruleId"":""comparison-content""}]","[{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add internal links to each alternative"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""}]",2025-07-07T10:56:23.702Z
Agryco,https://www.agryco.com/,https://www.agryco.com/engrais/engrais-azotes/pc979,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""}]","[{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add comparison table to achieve excellent score"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""}]",2025-07-07T10:56:26.904Z
Agryco,https://www.agryco.com/,https://www.agryco.com/bouchons-uab-09-05-00/p495715,1,product_detail_page,full,33,0,0,0,8,3,"[{""dimension"":""content"",""severity"":""error"",""description"":""No definitional content found on the page"",""recommendation"":""Add clear definitions for industry terms and concepts"",""ruleId"":""definitional-content""},{""dimension"":""content"",""severity"":""error"",""description"":""No case studies found to demonstrate expertise"",""recommendation"":""Add detailed case studies showing problem → solution → results"",""ruleId"":""case-studies""},{""dimension"":""authority"",""severity"":""error"",""description"":""No comparison content found"",""recommendation"":""Add comparison content with 2+ items"",""ruleId"":""comparison-content""}]","[{""content"":""Use definition lists (dl/dt/dd) for better structure"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add DefinedTerm schema.org markup for better AI understanding"",""ruleId"":""definitional-content"",""ruleCategory"":""content""},{""content"":""Add ItemList schema markup for better search visibility"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""},{""content"":""Add internal links to each alternative"",""ruleId"":""comparison-content"",""ruleCategory"":""authority""}]",2025-07-07T10:56:26.952Z
