"Domain","Count","Category"
"en.wikipedia","290","other"
"gartner.com","127","official"
"youtube.com","99","social"
"reuters.com","95","media"
"spinquanta.com","94","official"
"thequantuminsider.com","89","media"
"capermint.com","89","official"
"intellectualmarketinsights.com","88","official"
"renewables.digital","80","other"
"abacum.ai","74","official"
"medium.com","72","blog"
"shopify.com","71","official"
"antiersolutions.com","67","official"
"quantinuum.com","65","official"
"ft.com","65","media"
"manlybattery.com","65","official"
"plania.ai","63","official"
"techradar.com","60","media"
"taxually.com","59","official"
"prophix.com","58","official"
"gamelight.io","58","official"
"sensortower.com","53","official"
"carboncredits.com","52","media"
"augmentedqubit.com","50","other"
"time.com","50","media"
"insurtechdigital.com","50","media"
"tracxn.com","47","official"
"money.com","47","media"
"kdnuggets.com","46","blog"
"blackridgeresearch.com","46","blog"
"thebusinessresearchcompany.com","43","official"
"bankrate.com","43","media"
"moosend.com","41","official"
"investopedia.com","41","media"
"hashnode.dev","40","blog"
"exscape.io","40","official"
"monday.com","40","official"
"spocket.co","39","official"
"ibm.com","38","official"
"mordorintelligence.com","38","official"
"prnewswire.com","38","media"
"mecalux.com","38","official"
"blasto.ai","37","official"
"techtarget.com","36","media"
"cubix.co","35","official"
"statista.com","35","media"
"newatlas.com","34","media"
"custommarketinsights.com","34","official"
"slavnastudio.com","34","official"
"businessresearchinsights.com","34","media"
"cubesoftware.com","34","official"
"datainsightsmarket.com","33","other"
"grandviewresearch.com","33","official"
"exotec.com","33","official"
"42matters.com","32","official"
"klu.ai","32","official"
"startus-insights.com","32","official"
"waveup.com","31","official"
"climateinsider.com","31","official"
"farseer.com","31","official"
"oxagile.com","30","official"
"builtin.com","30","official"
"roboticstomorrow.com","30","media"
"freightnews.co","30","media"
"moodys.com","29","official"
"bluequbit.io","29","official"
"globenewswire.com","29","media"
"corporatesolutions.swissre","29","official"
"sustainabilitymag.com","29","media"
"inbeat.co","29","official"
"ossisto.com","29","official"
"knickglobal.com","29","official"
"yo-kart.com","29","official"
"zapier.com","28","official"
"trgdatacenters.com","28","official"
"sinexcel-re.com","28","official"
"explodingtopics.com","27","official"
"trustradius.com","27","other"
"businesswire.com","27","media"
"aerospaceglobalnews.com","27","media"
"greyb.com","27","official"
"instaclustr.com","27","official"
"confidentialcouture.com","27","official"
"workday.com","27","official"
"coinbureau.com","26","media"
"sap.com","26","official"
"salesforce.com","25","official"
"channelengine.com","25","official"
"cleanview.co","25","official"
"anaplan.com","25","official"
"oracle.com","25","official"
"mailtrap.io","24","official"
"vwo.com","24","official"
"nagorik.tech","24","official"
"simpleglobal.com","24","official"
"emailtooltester.com","23","blog"
"gminsights.com","23","official"
"globalgrowthinsights.com","23","official"
"analyticsinsight.net","23","media"
"btcdirect.eu","23","official"
