"Domain","Count","Category"
"appvizer.fr","235","directory"
"codeur.com","116","marketplace"
"fr.wikipedia","112","other"
"tool-advisor.fr","100","directory"
"indy.fr","100","saas"
"easyhoster.com","88","saas"
"hellowatt.fr","86","saas"
"propulsebyca.fr","86","saas"
"beev.co","81","saas"
"lehibou.com","75","owned"
"selectra.info","70","directory"
"ekwateur.fr","70","owned"
"info.gouv","70","government"
"freelance-informatique.fr","68","marketplace"
"lesfurets.com","64","marketplace"
"obat.fr","61","corporate"
"engie.fr","60","corporate"
"bitrix24.fr","59","saas"
"electricien-irve.fr","58","corporate"
"apogea.fr","58","saas"
"finance-heros.fr","57","blog"
"dixmilleheures.fr","57","marketplace"
"impli.fr","55","directory"
"lespionnieres.org","53","news"
"assoconnect.com","53","saas"
"plug-and-charge.fr","52","corporate"
"largus.fr","52","news"
"adecco.fr","52","corporate"
"axonaut.com","52","saas"
"greenway.care","51","corporate"
"bfmtv.com","50","news"
"mutuellesante.fr","49","directory"
"optioninterim.fr","49","corporate"
"lelynx.fr","48","directory"
"frandroid.com","47","news"
"baltis.com","47","ecommerce"
"bigmedia.bpifrance","44","news"
"leparisien.fr","44","news"
"digitalunicorn.fr","44","corporate"
"izi-by-edf.fr","44","ecommerce"
"bonne-assurance.com","43","other"
"unite.ai","43","news"
"bakertilly.fr","43","corporate"
"combak.co","42","corporate"
"comparabanques.fr","42","directory"
"blog.ekip","42","blog"
"ringover.fr","41","saas"
"comparatif-billetterie.com","39","directory"
"avygeo.com","39","directory"
"adaptel.fr","38","corporate"
"tplpaye.fr","37","saas"
"ezus.io","37","saas"
"lecomparateurassurance.com","36","directory"
"clubic.com","36","news"
"monkitsolaire.fr","36","ecommerce"
"economie.gouv","36","government"
"independant.io","36","other"
"qare.fr","35","saas"
"cse-guide.fr","35","other"
"xerfi.com","33","corporate"
"securities.io","33","news"
"lestudiotech.com","33","corporate"
"camilleservices.fr","33","corporate"
"openeat.fr","33","saas"
"agriaffaires.com","32","marketplace"
"investissements-faciles.com","32","blog"
"agrizone.net","31","ecommerce"
"modelesdebusinessplan.com","31","corporate"
"lemagdelaconso.ouest","31","news"
"-france.fr","31","government"
"lekaba.fr","31","directory"
"eurecia.com","31","saas"
"navan.com","31","saas"
"farmi.com","30","other"
"celside-magazine.com","30","news"
"banque.meilleurtaux","30","directory"
"comparatif-banque-pro.html","30","directory"
"01net.com","29","news"
"energycoaching.fr","29","corporate"
"smartcellular.fr","28","news"
"onlinecv.fr","28","saas"
"filiere-3e.fr","27","news"
"globalgrowthinsights.com","27","news"
"hostinger.com","26","saas"
"reseaux-recharge-voiture-electrique.com","26","directory"
"duoforajob.fr","26","other"
"shopify.com","26","saas"
"finary.com","26","saas"
"smatis.fr","25","corporate"
"iledefrance-mobilites.fr","25","government"
"meilleurtaux.com","24","directory"
"daze.eu","24","corporate"
"manpower.fr","24","corporate"
"shine.fr","24","corporate"
"culture-rh.com","24","blog"
"larochelle-technopole.fr","24","corporate"
"assurland.com","23","directory"
"mes-allocs.fr","23","saas"
"energie.meilleurtaux","23","directory"
"staffmatch.com","23","corporate"
