"Domain","Count","Category"
"en.wikipedia","290","other"
"appvizer.fr","235","other"
"gartner.com","131","official"
"fr.wikipedia","122","other"
"codeur.com","116","official"
"youtube.com","110","social"
"tool-advisor.fr","100","official"
"indy.fr","100","official"
"shopify.com","97","official"
"reuters.com","95","media"
"spinquanta.com","94","official"
"thequantuminsider.com","89","media"
"capermint.com","89","official"
"intellectualmarketinsights.com","88","official"
"easyhoster.com","88","official"
"hellowatt.fr","86","official"
"propulsebyca.fr","86","official"
"beev.co","81","official"
"renewables.digital","80","official"
"lehibou.com","75","official"
"medium.com","74","blog"
"abacum.ai","74","official"
"selectra.info","70","other"
"ekwateur.fr","70","official"
"info.gouv","70","official"
"freelance-informatique.fr","68","official"
"antiersolutions.com","67","official"
"quantinuum.com","65","official"
"ft.com","65","media"
"manlybattery.com","65","official"
"lesfurets.com","64","official"
"plania.ai","63","official"
"obat.fr","61","official"
"engie.fr","60","official"
"techradar.com","60","media"
"taxually.com","59","official"
"bitrix24.fr","59","official"
"prophix.com","58","official"
"electricien-irve.fr","58","official"
"gamelight.io","58","official"
"apogea.fr","58","official"
"finance-heros.fr","57","other"
"dixmilleheures.fr","57","blog"
"impli.fr","55","official"
"sensortower.com","53","official"
"lespionnieres.org","53","official"
"assoconnect.com","53","official"
"plug-and-charge.fr","52","official"
"largus.fr","52","media"
"adecco.fr","52","official"
"axonaut.com","52","official"
"carboncredits.com","52","other"
"greenway.care","51","official"
"augmentedqubit.com","50","other"
"time.com","50","media"
"bfmtv.com","50","media"
"insurtechdigital.com","50","media"
"globalgrowthinsights.com","50","other"
"mutuellesante.fr","49","official"
"optioninterim.fr","49","official"
"lelynx.fr","48","official"
"tracxn.com","47","official"
"frandroid.com","47","media"
"baltis.com","47","other"
"money.com","47","media"
"thebusinessresearchcompany.com","46","official"
"kdnuggets.com","46","blog"
"blackridgeresearch.com","46","blog"
"bigmedia.bpifrance","44","media"
"leparisien.fr","44","media"
"digitalunicorn.fr","44","other"
"mordorintelligence.com","44","official"
"izi-by-edf.fr","44","official"
"bonne-assurance.com","43","official"
"unite.ai","43","media"
"bakertilly.fr","43","official"
"bankrate.com","43","official"
"combak.co","42","other"
"comparabanques.fr","42","other"
"blog.ekip","42","blog"
"moosend.com","41","official"
"ringover.fr","41","official"
"investopedia.com","41","media"
"hashnode.dev","40","blog"
"exscape.io","40","social"
"monday.com","40","official"
"businessresearchinsights.com","39","official"
"spocket.co","39","official"
"comparatif-billetterie.com","39","other"
"avygeo.com","39","other"
"ibm.com","38","official"
"prnewswire.com","38","media"
"mecalux.com","38","official"
"adaptel.fr","38","official"
"techtarget.com","37","media"
"blasto.ai","37","official"
"tplpaye.fr","37","official"
"ezus.io","37","official"
"lecomparateurassurance.com","36","other"
"securities.io","36","media"
