"Domain","Count","Category"
"en.wikipedia","290","uncategorized"
"appvizer.fr","235","uncategorized"
"gartner.com","131","uncategorized"
"fr.wikipedia","122","uncategorized"
"codeur.com","116","uncategorized"
"youtube.com","110","uncategorized"
"tool-advisor.fr","100","uncategorized"
"indy.fr","100","uncategorized"
"shopify.com","97","uncategorized"
"reuters.com","95","uncategorized"
"spinquanta.com","94","uncategorized"
"thequantuminsider.com","89","uncategorized"
"capermint.com","89","uncategorized"
"intellectualmarketinsights.com","88","uncategorized"
"easyhoster.com","88","uncategorized"
"hellowatt.fr","86","uncategorized"
"propulsebyca.fr","86","uncategorized"
"beev.co","81","uncategorized"
"renewables.digital","80","uncategorized"
"lehibou.com","75","uncategorized"
"medium.com","74","uncategorized"
"abacum.ai","74","uncategorized"
"selectra.info","70","uncategorized"
"ekwateur.fr","70","uncategorized"
"info.gouv","70","uncategorized"
"freelance-informatique.fr","68","uncategorized"
"antiersolutions.com","67","uncategorized"
"quantinuum.com","65","uncategorized"
"ft.com","65","uncategorized"
"manlybattery.com","65","uncategorized"
"lesfurets.com","64","uncategorized"
"plania.ai","63","uncategorized"
"obat.fr","61","uncategorized"
"engie.fr","60","uncategorized"
"techradar.com","60","uncategorized"
"taxually.com","59","uncategorized"
"bitrix24.fr","59","uncategorized"
"prophix.com","58","uncategorized"
"electricien-irve.fr","58","uncategorized"
"gamelight.io","58","uncategorized"
"apogea.fr","58","uncategorized"
"finance-heros.fr","57","uncategorized"
"dixmilleheures.fr","57","uncategorized"
"impli.fr","55","uncategorized"
"sensortower.com","53","uncategorized"
"lespionnieres.org","53","uncategorized"
"assoconnect.com","53","uncategorized"
"plug-and-charge.fr","52","uncategorized"
"largus.fr","52","uncategorized"
"adecco.fr","52","uncategorized"
"axonaut.com","52","uncategorized"
"carboncredits.com","52","uncategorized"
"greenway.care","51","uncategorized"
"augmentedqubit.com","50","uncategorized"
"time.com","50","uncategorized"
"bfmtv.com","50","uncategorized"
"insurtechdigital.com","50","uncategorized"
"globalgrowthinsights.com","50","uncategorized"
"mutuellesante.fr","49","uncategorized"
"optioninterim.fr","49","uncategorized"
"lelynx.fr","48","uncategorized"
"tracxn.com","47","uncategorized"
"frandroid.com","47","uncategorized"
"baltis.com","47","uncategorized"
"money.com","47","uncategorized"
"thebusinessresearchcompany.com","46","uncategorized"
"kdnuggets.com","46","uncategorized"
"blackridgeresearch.com","46","uncategorized"
"bigmedia.bpifrance","44","uncategorized"
"leparisien.fr","44","uncategorized"
"digitalunicorn.fr","44","uncategorized"
"mordorintelligence.com","44","uncategorized"
"izi-by-edf.fr","44","uncategorized"
"bonne-assurance.com","43","uncategorized"
"unite.ai","43","uncategorized"
"bakertilly.fr","43","uncategorized"
"bankrate.com","43","uncategorized"
"combak.co","42","uncategorized"
"comparabanques.fr","42","uncategorized"
"blog.ekip","42","uncategorized"
"moosend.com","41","uncategorized"
"ringover.fr","41","uncategorized"
"investopedia.com","41","uncategorized"
"hashnode.dev","40","uncategorized"
"exscape.io","40","uncategorized"
"monday.com","40","uncategorized"
"businessresearchinsights.com","39","uncategorized"
"spocket.co","39","uncategorized"
"comparatif-billetterie.com","39","uncategorized"
"avygeo.com","39","uncategorized"
"ibm.com","38","uncategorized"
"prnewswire.com","38","uncategorized"
"mecalux.com","38","uncategorized"
"adaptel.fr","38","uncategorized"
"techtarget.com","37","uncategorized"
"blasto.ai","37","uncategorized"
"tplpaye.fr","37","uncategorized"
"ezus.io","37","uncategorized"
"lecomparateurassurance.com","36","uncategorized"
"securities.io","36","uncategorized"
